Codigo; Precio ;FECHA INICIO;FECHA FIN;CODIG LOCAL
135453; 7.84 ;25/03/2022;22/04/2022;DR4
553896; 14.69 ;25/03/2022;22/04/2022;DR4
159243; 17.51 ;25/03/2022;22/04/2022;DR4
514740; 6.88 ;25/03/2022;22/04/2022;DR4
123472; 142.64 ;25/03/2022;22/04/2022;DR4
513986; 226.93 ;25/03/2022;22/04/2022;DR4
510631; 6.98 ;25/03/2022;22/04/2022;DR4
139554; 9.66 ;25/03/2022;22/04/2022;DR4
513573; 71.59 ;25/03/2022;22/04/2022;DR4
512973; 2.47 ;25/03/2022;22/04/2022;DR4
120075; 15.94 ;25/03/2022;22/04/2022;DR4
113501; 4.38 ;25/03/2022;22/04/2022;DR4
113499; 1.76 ;25/03/2022;22/04/2022;DR4
113498; 4.60 ;25/03/2022;22/04/2022;DR4
113496; 1.72 ;25/03/2022;22/04/2022;DR4
135735; 62.40 ;25/03/2022;22/04/2022;DR4
209058; 0.94 ;25/03/2022;22/04/2022;DR4
100397; 6.43 ;25/03/2022;22/04/2022;DR4
100395; 2.66 ;25/03/2022;22/04/2022;DR4
137401; 14.23 ;25/03/2022;22/04/2022;DR4
100396; 4.24 ;25/03/2022;22/04/2022;DR4
511157; 1.69 ;25/03/2022;22/04/2022;DR4
105705; 17.45 ;25/03/2022;22/04/2022;DR4
100466; 8.09 ;25/03/2022;22/04/2022;DR4
100467; 8.22 ;25/03/2022;22/04/2022;DR4
137449; 4.72 ;25/03/2022;22/04/2022;DR4
513898; 4.44 ;25/03/2022;22/04/2022;DR4
514388; 5.81 ;25/03/2022;22/04/2022;DR4
514557; 6.30 ;25/03/2022;22/04/2022;DR4
100424; 4.56 ;25/03/2022;22/04/2022;DR4
510465; 5.76 ;25/03/2022;22/04/2022;DR4
510467; 8.62 ;25/03/2022;22/04/2022;DR4
154359; 7.42 ;25/03/2022;22/04/2022;DR4
238513; 3.19 ;25/03/2022;22/04/2022;DR4
100442; 21.19 ;25/03/2022;22/04/2022;DR4
100441; 34.60 ;25/03/2022;22/04/2022;DR4
512713; 4.19 ;25/03/2022;22/04/2022;DR4
211106; 1.17 ;25/03/2022;22/04/2022;DR4
212936; 9.93 ;25/03/2022;22/04/2022;DR4
214728; 1.17 ;25/03/2022;22/04/2022;DR4
196671; 6.48 ;25/03/2022;22/04/2022;DR4
208929; 3.88 ;25/03/2022;22/04/2022;DR4
193259; 4.05 ;25/03/2022;22/04/2022;DR4
192073; 1.35 ;25/03/2022;22/04/2022;DR4
211735; 3.31 ;25/03/2022;22/04/2022;DR4
192075; 2.31 ;25/03/2022;22/04/2022;DR4
196668; 2.00 ;25/03/2022;22/04/2022;DR4
164627; 8.28 ;25/03/2022;22/04/2022;DR4
164624; 2.18 ;25/03/2022;22/04/2022;DR4
189359; 2.40 ;25/03/2022;22/04/2022;DR4
218241; 4.18 ;25/03/2022;22/04/2022;DR4
211736; 3.75 ;25/03/2022;22/04/2022;DR4
136075; 17.41 ;25/03/2022;22/04/2022;DR4
510722; 5.08 ;25/03/2022;22/04/2022;DR4
510772; 3.31 ;25/03/2022;22/04/2022;DR4
574260; 11.81 ;25/03/2022;22/04/2022;DR4
574259; 13.70 ;25/03/2022;22/04/2022;DR4
512493; 1.88 ;25/03/2022;22/04/2022;DR4
137732; 16.60 ;25/03/2022;22/04/2022;DR4
579455; 4.01 ;25/03/2022;22/04/2022;DR4
173387; 51.16 ;25/03/2022;22/04/2022;DR4
123921; 1.79 ;25/03/2022;22/04/2022;DR4
123922; 1.75 ;25/03/2022;22/04/2022;DR4
515313; 18.09 ;25/03/2022;22/04/2022;DR4
136521; 14.58 ;25/03/2022;22/04/2022;DR4
574507; 0.47 ;25/03/2022;22/04/2022;DR4
135944; 12.22 ;25/03/2022;22/04/2022;DR4
206843; 7.38 ;25/03/2022;22/04/2022;DR4
112678; 9.92 ;25/03/2022;22/04/2022;DR4
